ID_Nota;ID_Disciplina;ID_Aluno;Nota;Data
2;1;1;6.19;07/07/2023
3;1;2;7.18;07/07/2023
4;1;3;7.47;07/07/2023
5;1;4;7.46;07/07/2023
6;1;5;4.35;07/07/2023
7;1;6;4.43;07/07/2023
8;1;7;0.76;07/07/2023
9;1;8;9.22;07/07/2023
10;1;9;9.4;07/07/2023
11;1;10;3.28;07/07/2023
12;2;1;1.34;09/07/2023
13;2;2;03.01;09/07/2023
14;2;3;1.66;09/07/2023
15;2;4;0.03;09/07/2023
16;2;5;4.34;09/07/2023
17;2;6;04.02;09/07/2023
18;2;7;8.79;09/07/2023
19;2;8;1.17;09/07/2023
20;2;9;8.26;09/07/2023
21;2;10;3.41;09/07/2023
22;3;1;6.82;27/07/2023
23;3;2;8.21;27/07/2023
24;3;3;01.03;27/07/2023
25;3;4;4.1;27/07/2023
26;3;5;0.25;27/07/2023
27;3;6;6.63;27/07/2023
28;3;7;9.74;27/07/2023
29;3;8;3.77;27/07/2023
30;3;9;0.58;27/07/2023
31;3;10;8.52;27/07/2023
32;4;1;8.37;08/08/2023
33;4;2;0.26;08/08/2023
34;4;3;5.95;08/08/2023
35;4;4;6.98;08/08/2023
36;4;5;6.18;08/08/2023
37;4;6;4.79;08/08/2023
38;4;7;7.96;08/08/2023
39;4;8;0.62;08/08/2023
40;4;9;7.77;08/08/2023
41;4;10;5.81;08/08/2023
42;5;1;2.25;15/08/2023
43;5;2;5.82;15/08/2023
44;5;3;4.11;15/08/2023
45;5;4;7.99;15/08/2023
46;5;5;3.23;15/08/2023
47;5;6;08.09;15/08/2023
48;5;7;8.24;15/08/2023
49;5;8;3.33;15/08/2023
50;5;9;4.24;15/08/2023
51;5;10;0.11;15/08/2023
